"cat","tokens","time_adv","proportion"
"R 115",36547,120,3.28344323747503
"R 116",38030,130,3.41835393110702
"R 117",36319,125,3.44172471709023
"R 118",39055,135,3.45666367942645
"R 119",37294,122,3.27130369496434
"R 120",37868,141,3.72346044153375
"R 121",36745,126,3.42903796434889
"R 122",38190,124,3.24692327834512
"R 123",36275,116,3.19779462439697
"R 124",37524,122,3.25125253171304
"R 125",36400,157,4.31318681318681
"R 126",36170,117,3.23472491014653
"R 127",36602,122,3.33315119392383
"R 128",37296,110,2.94937794937795
"R 129",36923,137,3.71042439671749
"R 130",36587,115,3.14319293738213
"R 131",36692,115,3.13419819034122
"R 132",36731,123,3.34867006071166
"R 133",36138,133,3.68033648790747
"R 134",37188,134,3.60331289663332
"R 135",37727,122,3.23375831632518
"R 136",36785,145,3.94182411308957
"R 137",34255,119,3.47394540942928
"R 138",37543,114,3.03651812588232
"R 139",37603,118,3.13804749621041
"R 140",36619,113,3.08582976050684
"R 141",38014,121,3.18303782816857
"R 142",38593,113,2.92799212292385
"R 143",38050,130,3.41655716162943
"R 144",35671,114,3.19587339855905
"R 145",36185,113,3.12284095619732
"R 146",37319,130,3.4834802647445
"R 147",37990,120,3.15872598052119
"R 148",36000,114,3.16666666666667
"R 149",36621,144,3.93217006635537
"R 150",38049,139,3.65318405214329
"R 151",37130,113,3.04336116347967
"R 152",37970,109,2.87068738477746
"R 153",36989,127,3.43345318878586
"R 154",35762,123,3.43940495498015
"R 155",38086,130,3.413327731975
"R 156",36066,123,3.41041424055898
"R 157",37705,140,3.71303540644477
"R 158",36850,128,3.47354138398915
"R 159",36293,114,3.14110158983826
"R 160",38138,140,3.67087943783103
"R 161",36793,115,3.12559454244014
"R 162",37185,115,3.09264488368966
"R 163",36970,134,3.6245604544225
"R 164",36714,123,3.35022062428501
"R 165",38791,144,3.71220128380294
"R 166",37251,104,2.79187135915814
"R 167",36982,129,3.48818344059272
"R 168",37653,144,3.82439646243327
"R 169",36510,101,2.76636537934812
"R 170",37074,127,3.42558126989265
"R 171",36603,124,3.38770046171079
"R 172",38800,113,2.91237113402062
"R 173",35884,117,3.26050607513098
"R 174",37966,116,3.05536532687141
"R 175",35915,133,3.70318808297369
"R 176",36635,131,3.57581547700287
"R 177",37830,127,3.35712397568068
"R 178",37271,149,3.99774623702074
"R 179",36488,118,3.23393992545494
"R 180",38513,142,3.68706670474905
"R 181",36316,131,3.60722546535962
"R 182",35704,123,3.44499215774143
"R 183",36903,137,3.71243530336287
"R 184",37440,108,2.88461538461538
"R 185",36524,129,3.53192421421531
"R 186",36879,108,2.92849589197104
"R 187",37835,140,3.70027752081406
"R 188",35802,122,3.40763085861125
"R 189",39078,124,3.1731408976918
"R 190",36411,127,3.48795693609074
"R 191",36821,126,3.42196029439722
"R 192",36241,114,3.14560856488507
"R 193",37745,144,3.81507484435024
"R 194",36685,140,3.81627368134115
"R 195",37299,119,3.19043405989437
"R 196",37439,135,3.60586554128048
"R 197",36681,140,3.81668983942641
"R 198",37606,137,3.64303568579482
"R 199",38080,122,3.20378151260504
"R 200",38036,113,2.97086970238721
"R 201",38030,134,3.52353405206416
"R 202",37840,127,3.35623678646934
"R 203",38964,156,4.00369571912535
"R 204",36012,111,3.08230589803399
"R 205",36955,129,3.49073197131647
"R 206",35541,127,3.57333783517628
"R 207",37968,120,3.16055625790139
"R 208",37094,129,3.47765137218957
"R 209",36408,125,3.43331136014063
"R 210",37261,133,3.56941574300207
"R 211",37204,108,2.90291366519729
"R 212",37255,110,2.95262380888471
"R 213",37093,127,3.42382659801041
